Date,Price,lstm0,lstm1,lstm2,lstm3,lstm4,lstm5,lstm6,lstm7,lstm8,lstm9,lstm10,lstm11,lstm12,lstm13,lstm14,lstm15,lstm16,lstm17,lstm18,lstm19
2018-05-09,9319.1,8946.369140625,8992.8359375,9066.62109375,8301.478515625,8914.2001953125,8843.609375,7778.06298828125,8777.5146484375,8831.720703125,8979.80078125,8999.14453125,8115.20263671875,8000.6435546875,8946.70703125,8217.224609375,8940.1806640625,9038.12890625,8245.8232421875,8941.119140625,8751.095703125
2018-05-10,9025.7,8785.677734375,8742.6767578125,8902.5341796875,8139.90625,8688.8720703125,8761.78125,7721.369140625,8520.4375,8605.228515625,8838.7890625,8546.62890625,8029.51904296875,7834.06494140625,8869.4345703125,8083.03369140625,8855.0693359375,8907.0947265625,8147.79345703125,8650.556640625,8518.9853515625
2018-05-11,8408.3,8681.685546875,8577.4150390625,8756.8837890625,7980.5205078125,8547.53515625,8689.17578125,7659.79248046875,8570.6728515625,8571.416015625,8708.681640625,8444.2373046875,7934.56005859375,7733.3115234375,8785.2060546875,7853.31591796875,8792.00390625,8789.486328125,7912.427734375,8546.6689453125,8452.7529296875
2018-05-12,8459.5,8626.029296875,8581.53125,8602.2314453125,7806.0908203125,8393.91796875,8613.5546875,7593.05517578125,8617.1796875,8546.736328125,8534.3916015625,8728.501953125,7841.83056640625,7648.4951171875,8696.3896484375,7683.00244140625,8761.544921875,8712.955078125,7656.47412109375,8654.9541015625,8477.08984375
2018-05-13,8693.5,8604.9541015625,8590.84375,8425.3896484375,7557.0283203125,8257.24609375,8536.5087890625,7505.61962890625,8582.8740234375,8598.720703125,8412.5,8711.90625,7760.55615234375,7572.4990234375,8597.48828125,7568.09521484375,8670.2802734375,8596.330078125,7471.92626953125,8690.9052734375,8505.0810546875
2018-05-14,8674.1,8604.3115234375,8564.18359375,8274.5859375,7410.08349609375,8135.85693359375,8468.6162109375,7421.33203125,8540.7919921875,8360.68359375,8354.1015625,8578.740234375,7692.43017578125,7547.9814453125,8453.5361328125,7503.021484375,8517.927734375,8499.7412109375,7353.8193359375,8552.08984375,8370.220703125
2018-05-15,8477.0,8182.84228515625,8473.1318359375,8290.4736328125,7332.92724609375,7936.77294921875,8186.60693359375,7579.3818359375,8204.060546875,8393.10546875,8237.583984375,8263.58984375,7674.4541015625,7693.71533203125,8348.8173828125,7473.19775390625,8167.080078125,8421.4853515625,7407.5146484375,8341.353515625,8398.8544921875
2018-05-16,8344.4,8265.4208984375,8412.146484375,8050.56494140625,7298.36669921875,7990.52392578125,8314.6826171875,7620.6923828125,8130.20556640625,8239.3779296875,8071.1005859375,8169.427734375,7531.205078125,7586.91064453125,8066.38427734375,7392.5751953125,8256.4990234375,8514.0927734375,7325.85400390625,8222.134765625,8283.0771484375
2018-05-17,8063.0,8322.8974609375,8335.59375,7940.8056640625,7359.20556640625,7971.640625,8362.9599609375,7440.65673828125,8282.6669921875,8366.0791015625,8021.74169921875,8258.4990234375,7379.68310546875,7639.515625,7986.26318359375,7386.77587890625,8414.263671875,8392.9375,7274.18505859375,8243.931640625,8319.4755859375
2018-05-18,8245.7,8352.509765625,8356.9384765625,7985.79931640625,7333.23193359375,7840.6865234375,8350.4658203125,7364.72021484375,8440.19140625,8399.232421875,8063.01953125,8329.62890625,7389.224609375,7634.5556640625,7927.59521484375,7393.62158203125,8485.1904296875,8205.97265625,7263.4375,8303.0224609375,8344.966796875
2018-05-19,8245.1,8281.849609375,8280.6474609375,7925.2197265625,7376.287109375,7792.7685546875,8296.3271484375,7274.876953125,8411.3818359375,8508.091796875,7974.31494140625,8465.826171875,7409.56005859375,7592.06201171875,7898.05908203125,7394.7578125,8401.0830078125,8084.10791015625,7368.2998046875,8322.134765625,8386.044921875
2018-05-20,8529.0,8095.7197265625,8153.970703125,7848.1015625,7435.6796875,7821.07470703125,8178.55322265625,7230.34716796875,8259.2060546875,8408.6240234375,7935.09521484375,8385.2861328125,7436.18310546875,7551.2314453125,7852.0810546875,7457.34033203125,8185.8173828125,7952.595703125,7423.52392578125,8215.1376953125,8146.1474609375
2018-05-21,8403.3,7851.76318359375,8002.97802734375,7783.57861328125,7515.72705078125,7732.22607421875,7982.6142578125,7234.658203125,7958.22216796875,7997.26220703125,7917.0546875,8009.97265625,7466.98779296875,7553.72998046875,7832.07275390625,7550.1884765625,7960.87451171875,7842.2431640625,7495.19482421875,7993.73193359375,7847.73486328125
